iter	Passed	Remaining
0	151	151370
1	155	77737
2	159	53016
3	163	40726
4	167	33270
5	171	28408
6	175	24833
7	177	22061
8	180	19897
9	182	18106
10	184	16622
11	186	15392
12	188	14329
13	190	13432
14	192	12653
15	194	11944
16	195	11324
17	197	10762
18	198	10263
19	200	9806
20	201	9383
21	202	8994
22	203	8643
23	204	8321
24	205	8024
25	206	7743
26	207	7484
27	208	7245
28	209	7020
29	210	6811
30	211	6623
31	212	6440
32	214	6274
33	215	6112
34	216	5959
35	217	5816
36	218	5679
37	219	5550
38	220	5426
39	221	5311
40	222	5200
41	223	5095
42	224	4993
43	225	4896
44	226	4803
45	227	4716
46	228	4634
47	229	4554
48	230	4477
49	231	4402
50	232	4331
51	233	4263
52	234	4196
53	235	4131
54	236	4069
55	237	4009
56	238	3950
57	240	3901
58	242	3862
59	245	3844
60	246	3796
61	247	3748
62	249	3704
63	250	3660
64	251	3614
65	252	3572
66	253	3528
67	253	3480
68	255	3441
69	255	3400
70	256	3360
71	258	3333
72	259	3298
73	260	3261
74	261	3225
75	262	3190
76	263	3155
77	264	3121
78	264	3088
79	265	3056
80	266	3025
81	267	2994
82	268	2964
83	269	2936
84	269	2904
85	270	2876
86	271	2846
87	272	2825
88	274	2804
89	274	2780
90	275	2755
91	276	2731
92	277	2707
93	278	2683
94	279	2660
95	280	2638
96	281	2616
97	281	2595
98	282	2573
99	283	2553
100	284	2533
101	285	2509
102	286	2490
103	287	2474
104	288	2462
105	289	2444
106	290	2426
107	291	2408
108	292	2391
109	293	2373
110	294	2356
111	295	2339
112	295	2322
113	296	2306
114	297	2290
115	298	2273
116	299	2257
117	300	2243
118	301	2228
119	302	2219
120	303	2206
121	304	2194
122	305	2178
123	306	2166
124	307	2153
125	308	2141
126	309	2129
127	310	2115
128	311	2103
129	312	2091
130	313	2081
131	315	2071
132	316	2060
133	318	2058
134	319	2048
135	320	2038
136	322	2029
137	323	2018
138	323	2006
139	324	1995
140	325	1984
141	326	1973
142	327	1962
143	328	1952
144	329	1942
145	330	1931
146	331	1921
147	332	1915
148	334	1907
149	334	1898
150	335	1888
151	336	1878
152	337	1868
153	338	1859
154	339	1849
155	340	1840
156	341	1831
157	341	1821
158	342	1813
159	343	1804
160	344	1795
161	345	1786
162	346	1778
163	348	1775
164	349	1767
165	350	1759
166	351	1751
167	351	1743
168	352	1735
169	353	1727
170	354	1719
171	355	1711
172	356	1703
173	357	1696
174	358	1688
175	359	1681
176	359	1673
177	360	1666
178	362	1662
179	363	1656
180	363	1647
181	364	1639
182	365	1632
183	366	1625
184	367	1619
185	368	1612
186	369	1605
187	370	1598
188	371	1592
189	371	1585
190	372	1578
191	373	1572
192	374	1565
193	375	1559
194	376	1553
195	378	1550
196	379	1545
197	380	1539
198	380	1533
199	381	1527
200	382	1521
201	383	1515
202	384	1510
203	385	1505
204	386	1500
205	387	1495
206	389	1490
207	390	1486
208	392	1486
209	394	1482
210	394	1476
211	395	1471
212	396	1465
213	397	1460
214	398	1454
215	399	1449
216	400	1443
217	401	1438
218	401	1433
219	402	1428
220	403	1422
221	404	1417
222	405	1412
223	406	1407
224	407	1405
225	409	1400
226	409	1396
227	410	1391
228	411	1386
229	412	1381
230	413	1376
231	414	1372
232	415	1367
233	416	1362
234	417	1357
235	417	1352
236	418	1348
237	419	1343
238	420	1338
239	421	1335
240	422	1331
241	423	1327
242	424	1322
243	425	1318
244	426	1314
245	427	1309
246	428	1305
247	428	1300
248	429	1296
249	430	1291
250	431	1287
251	432	1283
252	433	1279
253	434	1274
254	434	1270
255	436	1267
256	437	1264
257	438	1261
258	439	1257
259	440	1253
260	441	1249
261	442	1245
262	442	1241
263	443	1237
264	444	1233
265	445	1229
266	446	1225
267	447	1221
268	448	1217
269	449	1214
270	449	1210
271	451	1208
272	452	1205
273	453	1202
274	454	1198
275	455	1194
276	456	1191
277	457	1187
278	458	1183
279	459	1180
280	459	1176
281	460	1173
282	461	1169
283	462	1166
284	463	1162
285	464	1159
286	465	1155
287	467	1155
288	468	1152
289	469	1148
290	470	1145
291	470	1141
292	471	1138
293	472	1135
294	473	1131
295	474	1128
296	475	1125
297	476	1121
298	477	1118
299	477	1115
300	478	1111
301	479	1108
302	481	1106
303	482	1104
304	483	1101
305	484	1098
306	485	1095
307	486	1092
308	487	1089
309	488	1087
310	489	1084
311	490	1081
312	491	1078
313	492	1075
314	493	1073
315	494	1070
316	496	1069
317	497	1066
318	498	1064
319	499	1061
320	500	1058
321	501	1055
322	501	1052
323	502	1049
324	503	1046
325	504	1043
326	505	1040
327	506	1037
328	507	1034
329	508	1031
330	509	1028
331	511	1028
332	512	1026
333	513	1024
334	514	1021
335	515	1019
336	517	1017
337	518	1015
338	519	1012
339	520	1010
340	521	1007
341	522	1004
342	523	1002
343	524	999
344	524	996
345	526	995
346	527	992
347	528	990
348	529	987
349	530	984
350	531	982
351	531	979
352	532	976
353	533	973
354	534	971
355	535	968
356	536	965
357	537	963
358	537	960
359	538	957
360	539	955
361	541	954
362	542	951
363	543	948
364	543	946
365	544	943
366	545	941
367	546	938
368	547	936
